dataset,modality,embedding_model,ml_model,MCC,AUC,Accuracy,Precision,Recall,F1_macro,MCC_se,MCC_ci_lo,MCC_ci_hi,AUC_se,AUC_ci_lo,AUC_ci_hi,R2,MAE,Spearman,R2_se,R2_ci_lo,R2_ci_hi,Spearman_se,Spearman_ci_lo,Spearman_ci_hi
dili,hf,MolFormer_Finetuned_WL,XGBoost,0.4778,0.8113,0.7396,0.74,0.7378,0.7382,0.0895,0.3023,0.6534,0.0444,0.7242,0.8984,,,,,,,,,
dili,unimol,UniMol_FL,CatBoost,0.6598,0.8883,0.8229,0.8424,0.8178,0.8185,0.0712,0.5201,0.7994,0.0339,0.8219,0.9546,,,,,,,,,
dili,unimol,UniMol_FL,LightGBM,0.6598,0.8717,0.8229,0.8424,0.8178,0.8185,0.0713,0.5199,0.7996,0.0368,0.7997,0.9438,,,,,,,,,
dili,unimol,UniMol_FL,XGBoost,0.7897,0.8748,0.8854,0.9098,0.8804,0.8825,0.0515,0.6887,0.8907,0.039,0.7983,0.9513,,,,,,,,,
dili,unimol,UniMol_WL,CatBoost,0.5922,0.8891,0.7917,0.8056,0.787,0.7871,0.0786,0.4381,0.7463,0.0331,0.8242,0.9541,,,,,,,,,
dili,unimol,UniMol_WL,LightGBM,0.6784,0.8843,0.8333,0.85,0.8287,0.8297,0.0695,0.5422,0.8146,0.036,0.8138,0.9549,,,,,,,,,
dili,unimol,UniMol_WL,XGBoost,0.7107,0.88,0.8438,0.8737,0.8378,0.8387,0.0609,0.5914,0.8299,0.0359,0.8097,0.9503,,,,,,,,,
caco2,hf,ChemBERTa_77M_MLM_Huber,CatBoost,,,,,,,,,,,,,0.4389,0.4241,0.7427,0.0871,0.2681,0.6096,0.0339,0.6762,0.8093
caco2,hf,ChemBERTa_77M_MLM_Huber,LightGBM,,,,,,,,,,,,,0.2595,0.4713,0.6982,0.1229,0.0186,0.5003,0.0407,0.6184,0.7781
caco2,hf,ChemBERTa_77M_MLM_Huber,XGBoost,,,,,,,,,,,,,0.4386,0.4234,0.7562,0.0875,0.2671,0.6102,0.0323,0.6928,0.8196
caco2,hf,ChemBERTa_77M_MTR_Huber,CatBoost,,,,,,,,,,,,,0.6629,0.3239,0.8347,0.0502,0.5644,0.7613,0.0256,0.7845,0.8849
caco2,hf,ChemBERTa_77M_MTR_Huber,LightGBM,,,,,,,,,,,,,0.6693,0.321,0.8292,0.0485,0.5741,0.7644,0.0272,0.7759,0.8825
caco2,hf,ChemBERTa_77M_MTR_Huber,XGBoost,,,,,,,,,,,,,0.6353,0.3297,0.8218,0.0551,0.5274,0.7433,0.0273,0.7683,0.8752
caco2,hf,MolFormer_Finetuned_Huber,CatBoost,,,,,,,,,,,,,0.6004,0.353,0.7479,0.0585,0.4857,0.7151,0.0385,0.6724,0.8234
caco2,hf,MolFormer_Finetuned_Huber,LightGBM,,,,,,,,,,,,,0.5954,0.3637,0.7489,0.0582,0.4814,0.7094,0.0371,0.6762,0.8216
caco2,hf,MolFormer_Finetuned_Huber,XGBoost,,,,,,,,,,,,,0.5555,0.3834,0.7193,0.0612,0.4356,0.6753,0.0407,0.6394,0.7992
caco2,unimol,UniMol_Huber,CatBoost,,,,,,,,,,,,,0.6772,0.323,0.7964,0.0471,0.5849,0.7695,0.0317,0.7342,0.8585
caco2,unimol,UniMol_Huber,LightGBM,,,,,,,,,,,,,0.644,0.3408,0.7686,0.0483,0.5494,0.7387,0.0357,0.6986,0.8385
caco2,unimol,UniMol_Huber,XGBoost,,,,,,,,,,,,,0.681,0.327,0.7884,0.0441,0.5946,0.7674,0.0334,0.7229,0.8539
half_life,hf,ChemBERTa_77M_MLM_Huber,CatBoost,,,,,,,,,,,,,0.0496,6.1565,0.4235,0.0721,-0.0917,0.1908,0.0768,0.273,0.574
half_life,hf,ChemBERTa_77M_MLM_Huber,LightGBM,,,,,,,,,,,,,-0.002,6.5925,0.3167,0.0759,-0.1507,0.1467,0.0864,0.1473,0.486
half_life,hf,ChemBERTa_77M_MLM_Huber,XGBoost,,,,,,,,,,,,,0.0012,6.4879,0.365,0.0782,-0.1521,0.1544,0.0842,0.2,0.5301
half_life,hf,ChemBERTa_77M_MTR_Huber,CatBoost,,,,,,,,,,,,,0.0624,5.7351,0.5097,0.0664,-0.0677,0.1926,0.067,0.3783,0.6411
half_life,hf,ChemBERTa_77M_MTR_Huber,LightGBM,,,,,,,,,,,,,0.0665,5.8617,0.511,0.0864,-0.1029,0.2358,0.0645,0.3845,0.6375
half_life,hf,ChemBERTa_77M_MTR_Huber,XGBoost,,,,,,,,,,,,,0.0034,5.9966,0.5135,0.0455,-0.0857,0.0926,0.0688,0.3787,0.6483
half_life,hf,MolFormer_Finetuned_Huber,CatBoost,,,,,,,,,,,,,0.0503,5.6402,0.5561,0.0566,-0.0607,0.1613,0.0605,0.4376,0.6746
half_life,hf,MolFormer_Finetuned_Huber,LightGBM,,,,,,,,,,,,,0.041,5.8001,0.5462,0.0498,-0.0566,0.1386,0.0561,0.4362,0.6562
half_life,hf,MolFormer_Finetuned_Huber,XGBoost,,,,,,,,,,,,,0.0903,5.5568,0.5684,0.0655,-0.0381,0.2186,0.0579,0.455,0.6818
half_life,unimol,UniMol_Huber,CatBoost,,,,,,,,,,,,,0.0578,5.7934,0.4477,0.0363,-0.0134,0.1289,0.0751,0.3004,0.5949
half_life,unimol,UniMol_Huber,LightGBM,,,,,,,,,,,,,0.1337,5.72,0.3852,0.0659,0.0045,0.2629,0.0834,0.2219,0.5486
half_life,unimol,UniMol_Huber,XGBoost,,,,,,,,,,,,,0.0878,5.7111,0.4247,0.0489,-0.0079,0.1836,0.0763,0.2752,0.5743
